Manufacturer Part Number,Manufacturer Name,Description,Quantity
SW-R3-1A-A-1-2,Adam Tech,"SUBMINIATURE ROCKER SWITCH, SOLD",1
RP3502ARED,E-Switch,SWITCH PUSH SPST-NO 3A 120V,1
NUB-20PMFP-SC7001,Amphenol LTW,CONN RCP USB2.0 MINI B 5P PCB,1
T4070014031-001,TE Connectivity AMP Connectors,CBL 3POS MALE TO WIRE 0.66',1
T4070014041-001,TE Connectivity AMP Connectors,CBL 4POS MALE TO WIRE 0.66',2
22013027,Molex,900-0022013027-ND,2
22013037,Molex,CONN RCPT HSG 3POS 2.54MM,1
22013047,Molex,CONN RCPT HSG 4POS 2.54MM,3
8500113,Molex,CONN 22-30AWG CRIMP TIN,19
21348081489010,HARTING,CBL 4POS MALE TO FMALE 3.28',2
21348100388010,HARTING,CBL 3POS FMALE TO WIRE 3.28',1
DFR0198,DFRobot,WATERPROOF DIGITAL TEMPE,1
1037N115,mcmaster-carr,"Machine-Mount Corrosion-Resistant Washdown Enclosure with See-Through Cover, 4-3/4"" High x 4-3/4"" Wide x 2-3/8"" Deep",1
90380A348,mcmaster-carr,"Phillips Rounded Head Thread-Forming Screws for Plastic, Zinc-Plated Steel, M3 Size, 6 mm Long",bag of 100